"ME_MHCII_high_S1"	"ME_MHCII_high_S2"	"ME_MHCII_high_S3"	"ME_MHCII_high_S4"	"ME_MHCII_int_S1"	"ME_MHCII_int_S2"	"ME_MHCII_int_S3"	"ME_MHCII_int_S4"	"PM_S1_2_S4"	"PM_S2_1_S1"	"PM_S3_1_S2"	"PM_S4_1_S3"
"1600025M17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600027J07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1600029I14Rik"	0	0	0	0	0	0	0	1	3	0	0	0
"1600029O15Rik"	1	2	0	1	0	1	0	0	1	2	1	0
"1700001C02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700001C19Rik"	0	0	1	3	17	0	9	0	0	0	11	0
"1700001D01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700001F09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700001G01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700001G11Rik"	6	4	10	7	2	0	0	2	1	4	4	0
"1700001G17Rik"	0	0	0	0	0	2	5	0	0	0	10	0
"1700001J03Rik"	0	0	0	0	0	0	0	0	0	0	0	2
"1700001J11Rik"	0	0	7	9	0	0	0	0	0	0	2	0
"1700001K19Rik"	0	1	0	0	0	5	4	0	0	0	0	1
"1700001K23Rik"	0	0	0	0	0	0	0	0	2	1	4	0
"1700001L05Rik"	9	7	10	29	31	28	5	16	15	9	3	5
"1700001L19Rik"	0	0	0	0	0	0	1	0	0	0	0	0
"1700001O22Rik"	2	0	0	0	0	0	0	0	6	1	0	2
"1700001P01Rik"	0	7	0	1	0	0	1	2	0	3	0	2
"1700003C15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003D09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003E16Rik"	16	7	28	17	15	52	0	13	0	3	13	7
"1700003E24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003F12Rik"	24	14	12	12	21	35	34	72	8	3	5	1
"1700003G13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003G18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003H04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003I22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003L19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003M02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700003M07Rik"	0	0	0	2	12	0	0	13	0	0	0	4
"1700003P14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700006A11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700006E09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700006F04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700006H21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700007B14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700007F19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700007G11Rik"	0	0	0	0	4	4	0	3	0	0	0	0
"1700007J10Rik"	3	6	6	3	0	4	3	9	8	5	11	2
"1700007K09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700007K13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700007L15Rik"	34	9	6	12	14	34	50	20	21	27	58	28
"1700007P06Rik"	3	1	0	12	4	0	0	5	1	4	1	6
"1700008C04Rik"	0	0	0	1	0	0	0	0	0	0	0	0
"1700008J07Rik"	53	47	72	41	46	40	46	63	45	86	28	33
"1700008K24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700008O03Rik"	3	2	0	7	0	19	2	4	0	0	0	0
"1700008P02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700009C05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700009J07Rik"	2	0	0	0	0	0	0	0	0	0	0	0
"1700009N14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700010B08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700010D01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700010I02Rik"	0	0	0	1	1	0	0	0	0	0	0	0
"1700010I14Rik"	21	79	13	38	28	38	55	71	59	60	122	22
"1700010J16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700010K23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700011A15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700011B04Rik"	0	1	0	0	0	0	0	0	0	0	1	0
"1700011C11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700011E24Rik"	0	0	0	0	6	0	0	0	0	0	5	0
"1700011H14Rik"	0	0	0	0	0	1	0	0	0	0	0	0
"1700011I03Rik"	3	13	0	0	4	0	0	1	0	0	0	0
"1700011L22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700011M02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012A03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012B07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012B09Rik"	0	0	0	0	2	0	1	0	0	0	0	0
"1700012C14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012D01Rik"	18	11	17	41	21	11	13	24	12	2	6	10
"1700012D14Rik"	0	2	2	14	7	3	0	1	7	3	4	1
"1700012D16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012H19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012I11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700012L04Rik"	0	0	0	0	0	0	1	0	0	0	0	0
"1700012P22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700013D24Rik"	0	3	0	0	0	0	0	0	0	0	0	0
"1700013F07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700013G24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700013H16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700015E13Rik"	1	0	1	1	0	1	2	0	0	0	0	0
"1700015F17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700015G11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700016C15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700016D06Rik"	0	0	0	0	0	0	0	1	0	0	0	0
"1700016G22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700016H13Rik"	0	0	0	0	1	0	7	0	0	0	0	0
"1700016K19Rik"	0	0	6	0	0	0	0	0	0	0	0	0
"1700016L04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700016L21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700016P04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700017B05Rik"	3915	2242	2248	2819	4059	4527	3651	3176	994	1128	757	809
"1700017D01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700017G19Rik"	0	0	0	0	0	0	0	0	0	2	0	0
"1700017J07Rik"	6	0	0	0	10	9	6	10	0	0	0	0
"1700017L05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700017N19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018A04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018B08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018B24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018C11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018F24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018G05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700018L02Rik"	11	23	25	29	14	8	26	9	15	21	19	11
"1700019A02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019B03Rik"	0	0	0	0	0	0	0	0	0	5	0	0
"1700019B21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019C18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019D03Rik"	0	9	0	1	8	0	12	4	0	0	0	0
"1700019E08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019G17Rik"	25	11	2	5	0	23	17	30	30	24	25	20
"1700019G24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019L03Rik"	1	0	0	5	0	7	0	0	0	3	0	0
"1700019M22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019N19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700019O17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700020A23Rik"	0	0	0	0	0	0	0	0	0	2	0	0
"1700020D05Rik"	0	0	0	0	0	4	0	0	9	0	0	0
"1700020D14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700020G17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700020I14Rik"	1096	1048	983	888	923	799	760	881	1216	922	980	950
"1700020L24Rik"	0	0	0	18	3	0	0	0	5	8	8	2
"1700020M21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700020N01Rik"	6	0	0	0	2	0	8	0	0	0	0	0
"1700020N15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700020N18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700021F05Rik"	317	260	277	270	241	307	215	308	416	462	475	324
"1700021F07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700021K19Rik"	3074	2412	2492	2924	4772	4244	4276	4215	910	1261	718	1149
"1700021N21Rik"	0	0	0	0	0	0	5	0	0	0	0	0
"1700022A21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700022A22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700022E09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700022H01Rik"	0	0	0	0	3	0	0	0	0	5	0	0
"1700022H16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700022I11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700023C21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700023F02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700023F06Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024B18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024F13Rik"	3	4	8	6	6	2	3	0	0	0	0	2
"1700024G13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024I08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024N05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024P04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700024P16Rik"	0	0	0	15	0	0	0	0	3	0	0	0
"1700025B11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025C18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025F22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025F24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025G04Rik"	804	669	663	786	169	243	122	260	244	120	127	147
"1700025J12Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025K24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025M24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700025N23Rik"	4	0	0	0	5	6	0	0	0	4	0	3
"1700026D08Rik"	0	5	11	0	0	0	0	3	0	0	0	0
"1700026D11Rik"	0	0	0	0	0	1	0	0	0	0	0	0
"1700026F02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700026J14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700026L06Rik"	33	72	14	22	28	32	38	43	461	372	309	297
"1700027A15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700027F06Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700027F09Rik"	0	0	0	0	3	0	0	0	0	0	0	0
"1700027H10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700027I24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700027J07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028B04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028D13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028E10Rik"	12	20	1	12	9	6	1	8	15	5	16	3
"1700028I16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028J19Rik"	18	18	25	20	8	17	27	14	17	5	1	10
"1700028K03Rik"	7	0	0	0	4	0	18	4	5	0	2	0
"1700028M03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028P14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700028P15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029B22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029F12Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029H14Rik"	0	0	0	0	0	1	2	2	0	0	0	0
"1700029I15Rik"	8	0	1	0	0	6	2	1	0	0	1	0
"1700029J03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029J07Rik"	11	7	0	0	10	5	7	45	6	9	10	4
"1700029M20Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029N11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700029P11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700030A11Rik"	0	0	0	0	0	0	0	0	3	0	0	0
"1700030C10Rik"	20	26	17	25	26	25	58	63	37	34	55	20
"1700030F04Rik"	0	0	0	0	0	0	0	0	0	2	5	0
"1700030F18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700030J22Rik"	39	10	16	56	33	83	75	74	39	71	33	20
"1700030K09Rik"	314	179	123	248	193	452	349	243	189	202	279	173
"1700030L20Rik"	12	0	0	0	1	3	3	7	3	0	3	0
"1700030M09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700030N03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700030O20Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700031A10Rik"	0	0	0	0	0	0	0	0	0	0	0	1
"1700031F05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700031M16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700031P21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034E13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034G24Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034H15Rik"	19	1	4	0	4	0	2	10	0	4	0	1
"1700034I23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034J05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034K08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034O15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700034P13Rik"	0	0	0	1	1	3	0	0	5	2	0	2
"1700036G14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700037C18Rik"	118	56	63	71	61	105	121	69	128	150	156	94
"1700037H04Rik"	794	454	549	504	570	713	502	462	2252	2287	2793	2117
"1700039E15Rik"	0	0	0	0	0	8	0	0	0	0	0	0
"1700039E22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700040L02Rik"	1	0	0	0	0	0	0	0	19	6	8	0
"1700041A01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700041C23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700041M19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700042G07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700042G15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700042O10Rik"	4	0	0	0	6	9	0	0	0	0	0	0
"1700044C05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700044K03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700045H11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700046C09Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700047A11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700047E10Rik"	2	1	0	0	0	1	1	0	0	0	1	0
"1700047G03Rik"	0	0	0	0	0	0	0	0	3	2	0	0
"1700047I17Rik2"	0	0	0	0	0	0	0	0	0	0	0	0
"1700047L14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700047M11Rik"	0	0	0	0	0	0	0	0	50	57	84	50
"1700048M11Rik"	0	0	0	0	0	0	0	0	0	0	2	0
"1700048O20Rik"	3	7	0	6	0	6	3	0	2	13	2	14
"1700049E15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700049E22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700049G17Rik"	118	102	61	90	100	169	83	116	123	86	46	23
"1700049L16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700051A21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700052I22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700052K11Rik"	65	92	96	132	118	82	89	116	127	138	153	97
"1700054A03Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700054K19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700054M17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700055C04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700056E22Rik"	17	29	27	45	5	7	14	9	31	25	15	13
"1700057G04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700057H15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700057H21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700060C16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700060C20Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700061F12Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700061G19Rik"	0	0	0	0	0	0	7	0	6	0	4	3
"1700061I17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700061J23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700063A18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700063D05Rik"	2	0	0	2	0	2	1	1	0	0	2	0
"1700063O14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700064J06Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700064M15Rik"	5	3	6	3	0	0	3	4	0	0	0	0
"1700065D16Rik"	0	0	0	0	0	0	0	2	0	0	0	0
"1700065I16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700065J11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700065J18Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700065L07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700065O20Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700066B17Rik"	0	3	0	0	0	0	0	0	0	0	0	0
"1700066B19Rik"	2	0	4	0	0	2	0	0	1	8	7	5
"1700066J03Rik"	0	0	0	0	0	1	0	0	0	0	0	0
"1700066M21Rik"	312	385	241	295	351	272	320	413	274	202	377	207
"1700066N21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700066O22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700067G17Rik"	0	0	0	0	1	0	0	0	0	0	0	0
"1700067K01Rik"	4	0	4	0	3	2	9	0	0	4	0	0
"1700067P10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700069L16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700069P05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700071K01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700071M16Rik"	81	65	46	105	130	140	105	146	51	57	45	9
"1700072B07Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700072I22Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700072O05Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700073E17Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700074H08Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700074P13Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700080E11Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700080N15Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700080O16Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700081H04Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700084C01Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700084D21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700084E18Rik"	1	1	0	0	1	4	3	6	2	1	0	0
"1700084F23Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700084J12Rik"	0	0	4	0	0	0	0	0	0	0	0	0
"1700084M14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700085C21Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700086L19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700086O06Rik"	11	9	18	34	27	20	36	29	30	23	51	9
"1700088E04Rik"	4	0	0	0	0	2	0	1	0	0	2	2
"1700091H14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700092C02Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700092C10Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700092E19Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700092K14Rik"	0	0	0	0	0	0	0	0	0	0	0	0
"1700092M07Rik"	0	0	0	0	0	0	8	0	1	0	0	0
"1700093K21Rik"	0	0	0	0	0	4	0	8	0	0	0	0
